review_id,review_text,logistica_sentimento,produto_sentimento,atendimento_sentimento,preco_sentimento,to_remove
d3c62500417e7eeab7c6ac2151b67357,"Um produto como uma carteira somente poderia ser avaliado depois de algum tempo de uso, No entanto, o produto é bem acabado e de couro conforme o especificado pela empresa.",,Positivo,,,Não
0f952ad4dfb88a77f12211a4038c70dd,"Entrega no prazo , bom produto .",Positivo,Positivo,,,Não
067b7c9c760d8bda7a2c38fb1f3fdf6e,"entrega rápida",Positivo,,,,Não
62f78be17aa2ef7db33e5781e00e7dc8,"Chegou no prazo e atendeu as minhas espectativas",Positivo,,,,Não
9fcdf7983153b632cdbab78bf7d7f83a,"Logística ótima entregue antes do prazo previsto, estou satisfeito. ",Positivo,,,,Não
a2e0d982abe0a650156ec056ca4d1b85,"Entrega no prazo combinado , chegou certinho recomendo esse loja ",Positivo,,,,Não
74ef1abcf8bfb7ca756b7cd788ee366b,"Vocês me enviaram faltando 3 cortinas. E agora?",,Negativo,,,Não
1faf54dfeb5d82e5218a8ca9433e90b8,"A encomenda demorou muito a chegar mas chegou em perfeito estado.",Negativo,Positivo,,,Não
2070cfae604cb0be67d5967716a68107,"produto dentro do esperado sem defeitos",Neutro,Neutro,,,Não
5bb1b76de6b52930ca68babe90a89935,"Chegou no prazo !",Positivo,,,,Não
bbda12c71aab2a0fc4abd9552708b896,"S",,,,,Sim
3fca95425de85f09a53a4ddf53382986,"Produto ótimo, a entrega deixou a desejar",Negativo,Positivo,,,Não
9258b018cff95838336b62b1d0557b70,"Ainda não recebi meu produto não dá pra avaliar",Negativo,,,,Não
55bb8e267a4a3de93b0392fd9c0b7423,"Top",,,,,Sim
05a8043ba7365e650700ee4d1c81cfba,"Gostaria que as entregas fossem mais rápidas.",Negativo,,,,Não
9fa512c5a402254eb83131b1ec913472,"Quero estorno do meu dinheiro o mais rápido possível ou ainda aceito a entrega do meu produto",Negativo,,,,Não
3e2077f5e653f7feb84021b9aeae83a7,"Produto muito bom mais o prazo nao.foi cumprido ",Negativo,Positivo,,,Não
7e5cc504d8982e90475a983f91fd77e4,"Olá, o produto veio com o conctor faltando. Por favor, podem me enviar? 

Aguardo. ",,Negativo,,,Não
1ffb32409730d69bbb5e43854e520701,"Não é um produto que chega e é passível de instalação. Sem manual, é necessário entrar em contato com a empreaa fabricante. Um produto caro que exige plataforma Windows para instalação e configuração.",,Negativo,,Negativo,Não
788bbd45387e5796158ee6946bb4fc37,"Ok",,,,,Sim
8a8685c5c82139492c1c2ffc9c34b784,"Quero trocar o produto. Tecido da cortina mega fino",,Negativo,,,Não
82e4a744dd74699abef5974e2e6aabc0,"Recebi o produto antes da data estipulada porem as tampas vieram quebradas como se não suportasse o produto dentro da embalagem (embalagem pequena).",Positivo,Negativo,,,Não
25b5083f478c1c2c328861ed577331ca,"Meu filho amou a mochila... Perfeita..e melhor ainda chegou justo no aniversário dele.",Positivo,Positivo,,,Não
d2e20804862d37a172387b3b7df223e9,"desde pedido não vieram as almofadas ainda",Negativo,Negativo,,,Não
fa17f23f65598c9ca0caab952a71651e,"Boa!",,,,,Sim
e10c873dd7f4b4878f3ea35a6589be9d,"Td certo com a entrega",Positivo,,,,Não
47a1ec3b36740c923bfa0dead6ff1517,"Produtos com qualidade, entregues antes do prazo.",Positivo,Positivo,,,Não
e60413edda83aa70de7f04e231148717,"Muito bom",,,,,Sim
fd785bd6eaac4a6cc3015cb72b59243f,"Recebi o produto antes do prazo estimado. O produto esta em teste. Vamos avaliar se corresponde ao que esperamos. Por enquanto vou avaliar com 03 estrelas.",Positivo,,,,Não
f3535f3b306d9faf3028163034e5c54f,"Gostei da compra produto de qualidade..chegou antes do ora só previsto..",Positivo,Positivo,,,Não
37781f13bba845e460bc4a91dcbe9d59,"Comprei de 240 tabletes e veio 120 entrei com pedido de troca estou aguardando resposta.Dependendo de como a loja parceira resolverá meu problema direi se indico ou ñ.",Negativo,Negativo,Negativo,,Não
794c6d23c17eed8cec6120ff529bc2ef,"Entrega muito rápida",Positivo,,,,Não
70f04f61aafcb6a5e2d616f3a85a9836,"Comprei 3 garrafas de vinho veio so duas e agora reclamar como se assinei ",Negativo,Negativo,,,Não
87e2bf1ae884f895e4a9ac2a1c8537f0,"Prezados,
O produto estragou na hora de conectar com o aparelho de 110 volts na rede de 220.
Como faço para voces enviarem outro?",,Negativo,Negativo,,Não
f1960cf21cfb437375c637358f4ffd62,"O carregador anunciado não confere com o entregue, na caixa do produto vem até escrito a amperagem qual eu necessitava ,porém no carregador consta metade da amperagem oferecida pelo vendedor ",,Negativo,,,Não
d2d81a1f09971197b320a11e4d91c165,"São duas peças e eu só recebi uma",,Negativo,,,Não
808a3c0213477660e0a6e83f485ed40c,"o produto ainda não instalei mas a entrega foi super rápido",Positivo,,,,Não
3352077e013ce9ee9b68fad14c9539c5,"Só problema é que não avisa que é preciso ter um cartucho ",,,Negativo,,Não
042a30f647f0f86b24bf62b4b101e206,"otimo produto chegou em boas condições ",Positivo,Positivo,,,Não
b90768f63e8c48af647b8c5966b0989d,"Além do produto ser bom, a entrega foi super rápida.
Esse eu indico.",Positivo,Positivo,,,Não
fbf34e98200bee0d92a8625d07dc6f8c,"Ótima compra para quem tem pouco espaço pra secar roupas.",,Positivo,,,Não
0084ee902f9a4e006a281b644b78cf29,"Ate agora comprei o transformador de voltagem 9000 btu nao recebi liguei pra americana a atendente me falou q ia liga pra transportadora e mr retorno em dois dias ja se passaram o prazo .",Negativo,,Negativo,,Não
7ec9f5da80457bd8981e0638573a49fe,"FOI CANCELADO. COMO FAÇO PARA FAZER OUTRO PEDIDO CO O VALOR PAGO ?",,,,,Sim
94a12a7754efde5a546b168174e603e8,"A empresa targaryen deixou a desejar com o envio do produto na cor errada.",Negativo,Negativo,,,Não
df095c5e7b50dc8b22ea9a786fc3dfcf,"Muito bom!",,,,,Sim
e9c908429373d001404bebddd26496cd,"achei que demoro mais que os outros pedidos...",Negativo,,,,Não
dae5174116d950a23616a58119738eb8,"O produto custou R$34 com frete, mas não é bom. É bem ralinho parece água. ",Negativo,Negativo,,Negativo,Não
41b71ce4b8849a56b4d51b9c87c19711,"Produto excelente. Facil uso. Recomendo.",Neutro,Positivo,,,Não
ef9ef383ff6625e8e118db388ad3420d,"No site o produto parece ter melhor qualidade de material e acabamento.",,Negativo,,,Não
9c3aea89b871e265d8520ff4be5500d6,"Excelente produto. Bom para qq fotógrafo.",,Positivo,,,Não
6113a384f3cd7b85d430c5bbd22e52fe,"Não gostei pois me mandaram um produto perto e vencer o prazo de validade. Recedi o produto de 1kg no final do mês de abril com a validade para vencer agora no mês de julho .Gostaria de efetuar troca.",,Negativo,Negativo,,Não
df0d9c1964975f1a9e514e22ec8be080,"Boa tarde,
Gostei muito do serviço e espero ser atendida bem assim na próxima compra!",,,Positivo,,Não
900d4ea6628849cf950be739b6b0f4f7,"só acho que o frete é muito caro, eu evitaria comprar novamente",Negativo,,,Negativo,Não
3a3fc2126f13eff43879b7dce2ee7c7e,"O produto chegou certinho, antes do prazo, bem embalado e sem avarias.",Positivo,,,,Não
6017f669ef85873b7a8d5fd6bde64ffb,"O produto é realmente de boa qualidade e confere com o desenho publicado.",,Positivo,,,Não
0285ed9052a73d01dc6411c082d7b275,"Excelencia. Sempre compro aqui ",,,,,Sim
28d95f0a0da70e316e7eb71fee54220b,"Confiável, rápido e com Bom Preço.",Positivo,,,Positivo,Não
40f3f2804ac4d58fb4c0e5f4138038ae,"O relógio não era original e a foto do anuncio não batia com o qual recebi. Produto de pessima qualidade. ",,Negativo,,,Não
66e993fb29cd3cd3914a7a2b9c366731,"Chegou bem antes do prazo, é o produto é de excelente qualidade! ",Positivo,Positivo,,,Não
ffbdbca364b05f38fd4b457358f845ff,"O produto ainda ano foi entregue.",Negativo,,,,Não
3bca8d9922bed47eb96f23d121945290,"Cumpriu o acordado!",,,,,Sim
cac32b3fc26f657524fe812fc4ede941,"Recebi a película e ela veio toda lacrada, porém no momento de colocá-la estava com problemas, riscos na tela e falta de cola em torno, ou seja, produto de má qualidade. ",,Negativo,,,Não
edcf4c003ecabe5eb9f718d804666b66,"O kit de cloreto de magnésio vale mais a pena do que comprar individualmente nas farmácias e drogarias.",,,,Negativo,Não
44b1f6b9b60aef33730c43641d85e818,"A entrega foi rápida, o produto superou as minhas expectativas, pena que o recarregador de baterias veio com um pequeno defeito de fabricacao, ma nada que comprometa a lanterna.",Positivo,Negativo,,,Não
dcd8a39e8e7a91c655c19cbb43247ce5,"Produto bem embalado. Entrega demorou mais que as concorrentes, porém foi 2 dias antes de vencer o prazo.",Positivo,,,,Não
88f1e6485cf67624d3d5937b872cac5d,"Muito bom",,,,,Sim
051eb83a8b50dd9269ba52a151f5fbff,"Recomendo esta loja pela qualidade, preço e rapidez na entrega.",Positivo,Positivo,,,Não
227ca9a17dbaba56072566fe1968cfc9,"sempre compro com voces,porem dessa vez o produto que comprei deu problema no prazo de entrega",Negativo,,,,Não
dbb192dd0836c49932efe8b7018c93fe,"Ótimo produto.",,Positivo,,,Não
8eb0191bb96bb6a5295d1040f704435f,"Dedoches são muito lindos! Meu filho amou! Foi entregue dentro do prazo e intacto. Super recomendo!",Positivo,Positivo,,,Não
bdfe08cb16560ac0e5f7855583e714d2,"Serei cliente c frequência..
",,,Positivo,,Sim
118cea1913e2f9d91f24066bf570fe20,"péssima embalagem , tive que colar ele todo, fique com preguiça pelo preço de mandar de volta, mas não indico pra ninguém a loja...",,Negativo,,Negativo,Não
d435bf750cdbb1376bcd4141e1737694,"otimo atendimento",,,Positivo,,Não
3342e6b3b65eee0530f5cc17a8b5e7a4,"Tudo certo na entrega é produto muito bom recomendo",,Positivo,,,Não
98ed21dd16a95e08241c4bca56bcb9ad,"a caixa estava meia aberta e a data de garantia que não sei se é a validade está muito proxima 06/2018
",Negativo,Negativo,,,Não
26ccedab64af303bfa98ffe1765572e0,"Tudo certo!",,,,,Sim
ad7f00d2a8964a29500ee5122b2b6b7e,"Mercadoria perfeita recomendo a todos parabéns pelo trabalho de vcs",,Positivo,,,Não
918bd7e04b6ecd598d5fd14942fad51a,"gostei ",,,,,Sim
5193a01c7a8f65e318891228e8967c49,"Eu comprei nas lannister, por se tratar de uma loja de confiança, porém ao chegar o produto descobri que o que foi vendido pela marca Targus, era na verdade um produto falsificado, não confio mais",,Negativo,,,Não
95565652d4dddb31ca69e9ea04297b3e,"nao recebido",Negativo,,,,Não
19d0e4c99907407763b8ffc084e7a63b,"Atendeu minhas expectativas,chegou antes do prazo,tecido lindo e de boa qualidade.Amei.",Positivo,Positivo,,,Não
e18f63b8f429f2e923faeddfe034a972,"Comprei o produto para honda biz. No entanto na embalagem havia escrito e marcado para handa broz. ",,Negativo,,,Não
c848b17cf82a66ee3a23661a94ad6852,"Recebi no prazo e já apliquei. Ficou muito bom e de fácil aplicação, mesmo pra mim que não tenho muita habilidade pra isso. Agora é só esperar para ver a durabilidade. ",Positivo,Positivo,,,Não
a960a525fe1f8bc382be6ae86e2c286e,"Aí, adorei, chegou bem antes do prazo, e a armação é lindaaaaa, do jeitinho que eu queria ",Positivo,,,,Não
303d1805e472717da19793051a53ed91,"Eu não recebi os dois produtos falta 
Kit tapetes para cozinha 3 peças pintado à mão - Cru
1 unidade - R$ 35,00 cada

",,Negativo,,,Não
61444af46eba67a5d657ea209e893476,"Ótimo ",,,,,Sim
c141e288b3722caeb717911e52fee32f,"Produto original, bom preço e entrega rápida!!!",Positivo,Positivo,,Positivo,Não
f51a5d398f2374cb21257cc26a2ee01a,"Eu não tenho notícias do pedido anos do se e o correio da minha cidade",Negativo,,,,Não
6d9e026755d4aec54a2334e9b6d35b08,"Ainda não recebi o cinto.",Negativo,,,,Não
a3ee01e5ed1c50bee12b1b82b79b31bf,"Recebi o produto corretamente conforme compra .",Positivo,,,,Não
5414ccae46e737879d3abffb7f7b6d55,"excelente produto, entrega super agil",Positivo,Positivo,,,Não
b13013b811c2325934e8e049683bdcf2,"Paguei mais caro e esperei mais tempo pra receber escovas Dourada e Branca...

No fim das contas recebi 2 escovas ROSA.",,Negativo,,Negativo,Não
7db2631738c433cc51917db13aa2e747,"Comprei uma capinha transparente e veio uma marmotenta colorida... ridículo..",,Negativo,,,Não
b8ae58d8aaf02bf99499884c0fe19ac2,"Bom dia , eu só queria entender , o por quê vocês colocam quê não será entregue em minha residência,quê será entregue ná agência dos Correios mais próxima,sendo-quê,o frete foi incluso na compra? ",Negativo,,,,Não
48563905d91e9530817215a9a4432741,"Ótimo produto!",,Positivo,,,Não
3dca11df77acc554aa2f0f98292bbe43,"O produto entregue não foi o produto comprado por mim, o pedido foi feito para o Aspirador De Pó Ph Rapid 1000N 127V e foi entregue ASP PO RAPID TURBO PAS02 127V, Desejo devolução do valor pago e reti",,Negativo,,,Não
7fd6b41ff07c831d31a7fea0e0d66b56,"Excelente!",,,,,Sim
bac39a30c27fd42d267953f5d9ce4948,"Excelente. Entrega dentro do prazo. Produto muito bem embalado.",Positivo,Positivo,,,Não
97bcebfc73a72905795476815cb5a2aa,"Relógio ótimo, como na descrição",,Positivo,,,Não
ce81418965d87fc6ff5c82c6e5141a88,"Muito bom. Adorei.",,,,,Sim
2144c89d3f5223859489cd2f6248d3ec,"E uma ótima plataforma de compra",,,,,Sim
97c727290349aa034bb61f586175ba82,"otima entrega",Positivo,,,,Não
2998c7c8581528db19796a0f9124660d,"O produto, é exatamente como esperava.perfeito.",,Positivo,,,Não
9194bbd14273ecb710f5adb46d1d3c8a,"foi muito bom comprar com vcs obrigada!!!",,,,,Sim
f3ec48a00e5a8823b6cc48625c03cf1d,"Produto não foi entregue e já entrei em contato com a lannister que ainda neo deu retorno ",Negativo,,,,Não
464879fa9b78bd5d9b81327d63a3fe75,"produto chegou antes do prazo, cuidadosamente bem embalado, lindo pendente! recomendo.",Positivo,,,,Não
ada5d7122f322dab29d830ab83792a18,"otimo produto",,Positivo,,,Não
a74e625163df3bb5cfaa3f24bb9a0e4d,"Tive que ir no correio buscar a mercadoria, além de ter pago o frete para receber em minha residência.",Negativo,,,Negativo,Não
02a8d9699a0dc9a726a7c530c70c839e,"Produto excelente e de ótima qualidade. Adorei.",,Positivo,,,Não
bb26ba159af4f8531be0a14c34f866cf,"Bom",,,,,Sim
198a7281626e17dc97195e5c9a8b16c7,"Chegou antes da data prevista, me deixou muito contente! Produto de ótima qualidade!",Positivo,Positivo,,,Não
780bd255c95af7fae2a95a8a1e652ba0,"O produto é um plástico Duro, vamos ver se suporta o aquecimento da lâmpada.",,Negativo,,,Não
4c48489c297d6f0474d2c3a21be63e37,"fui bem atendido, mas o valor cobrado foi divergente do valor apresentado no site(desconto de 5% pela forma de pagamento). mas tudo ja foi resolvido.",,,Positivo,Negativo,Não
1060d56dcc60ee8aac9cc1e5880c2bf2,"produto de má qualidade",,Negativo,,,Não
e5d2692fe45a9bf8ceacc0c3b9944528,"A demora pra entrega é maior que de outros produtos e isso é desanimador",Negativo,,,,Não
7177b743bc34ca680795500cf1db91f3,"Ótimo produto, entrega rápida, minha esposa esta extremamente satisfeita, me dei bem !!",Positivo,Positivo,,,Não
8eb5000a7d3b91685e234b5d15dedda0,"Produto de qualidade conforme anunciado, entrega antes do combinado.",Positivo,Positivo,,,Não
3322460564fc8f370b077b7e49d733ad,"Veio super rapido excelente",Positivo,,,,Não
348bb52140cb8ab0a2ff4df1e38595b3,"Ja enviei varios emails reclamando sobre a entrega do produto e n me respondem",Negativo,,,,Não
c587962d35352f4a20751a29ac397f71,"Achei apenas que o acabamento da peça podia ser melhor.",,Negativo,,,Não
0316cf6a2c01c9705a37241a8d08dda8,"Supero minhas expectativas. Muito bom o produto.",,Positivo,,,Não
5270574b820e27ed76cdb13a6dfc4391,"Paguei pelo Kit completo:shampoo,condicionador e ativador de cachos e recebi apenas o ativador de cachos,isso tá errado
",Negativo,,,,Não
a370bd7d6b7092478bbc56f6315a1ebb,"O produto chegou antes do previsto veio certinho conforme o descrito no site e veio bem embalado.",Positivo,,,,Não
e412e969e503c869d5e3c7952001afbf,"recomendo! tudo como esperado e dentro do prazo!",Positivo,Positivo,,,Não
ffdbb78f8ccb68da33e0d08769cc370b,"Muito boa loja",,,Positivo,,Não
fea46f78ce903a1cf5891e89b5b395f4,"Muito rápida a entrega!!!",Positivo,,,,Não
c1b4a0188f42cb250bf5549c9501eb20,"não veio o produto que eu comprei.",,Negativo,,,Não
684697287fec3e4dc2e8704348b9a1a8,"Tudo certinho",,,,,Sim
3a3d4189aef2a6dcdeb7bd75e654aed2,"faltou as duas peças do aparelho massageador",,Negativo,,,Não
b2428491ebf0bc8b83e689d544e62061,"sim
",,,,,Sim
cb1167d0d72ad282833cc85c0fe178f1,"Melhor preço e entrega super rápida, sou fregues a muito tempo, loja totalmente confiável...",Positivo,,,Positivo,Não
a5107a5c2ec9c677641b907526da3eab,"Produto veio certinho e no prazo!!",Positivo,Positivo,,,Não
75cfce1f99f55b05db43069c25752652,"Seria uma sugestão, as imagens não são parecidas com o produto original, se possivel tirar fotos do produto de uma forma que a visualização seja mais clara.
Pois o produto que comprei achei diferente",,Negativo,,,Não
72906dc18cd7aaed26be40c859613c65,"Comprei duas válvulas solenóides iguais. Paguei o mesmo produto com quantidade 2 (dois). As válvulas são iguais, mas as roscas são diferentes. Uma é BSP, com passo igual a NPT, a outra tem passo maio",,Negativo,,,Não
fba10cb26df7b1292e3efe486b6d0907,"O produto solicitado foi entregue com algum atraso mas em perfeito estado,Muito Obrigado.",Negativo,Positivo,,,Não
24fca39028bd6bbbcf4c0d9929b75f30,"embora tenha comprado o produto durante a Black Friday para presentear uma criança da família, o presente não chegou a tempo do Natal. Fui obrigada a comprar às pressas um presente substituto",Negativo,,,,Não
7bbed20edbdbef40df091446cfd51c7f,"Produto muito bom, confortável, ",,Positivo,,,Não
1a9542d9ce3b1d9771070bce3dd22716,"Entrega super rápida, Amei o produto, com certeza indico",Positivo,Positivo,,,Não
e42ac8f45d762b38ef38bd7d6b14ab78,"Muito bom,",,,,,Sim
36db24f20b7b8cd08d81fc8dd5ec4261,"Produto recebido.dentro do prazo, características conforme anunciado.",Positivo,,,,Não
3a3d8d6610098a1c0b86c26e5f1bf070,"O relógio tem uma boa qualidade. ",,Positivo,,,Não
0cd404ed19c3e0abf2cefb264815f722,"Muito satisfeita, produto chegou antes do prazo em perfeita condições , parabéns nota 10",Positivo,,,,Não
5c99f6ff0f883ea3b283853720266109,"Produto chegou antes do prazo",Positivo,,,,Não
47f3bcca5a32c2daf41c85c8075bed22,"Entregou o produto de forma correta e antes do prazo, muito eficiente. ",Positivo,,,,Não
57f42ef76cd67dc7575082f526a92ab4,"até o momento não recebi meu produto",Negativo,,,,Não
c1873036f315d44a81e20a98b6d8b8cf,"Além do prazo de entrega ser super demorado, agora não consigo contacta-los pra saber o que está acontecendo e quando ou se vão entregar.",Negativo,,Negativo,,Não
52f0e4be30fdb216f94ceec0d5747060,"Comprei e não levei, comprei em novembro com promessa de receber o produto em 12 dias, ja se passaram mais de 30 dias... e o pior 
SEM NENHUM CONTATO, sem nenhuma informação. detalhe 2 parcelas pagas",Negativo,,Negativo,,Não
308efe0684448009c6ae0ce748abe2a4,"e uma loja muito boa 
",,,Positivo,,Não
9c62b409410992f057c1e573ecc6eb6a,"Infelizmente o produto não possui boa qualidade e fica permanentemente com a luz ligada, tendo alto consumo de energia (pilhas)",,Negativo,,,Não
1eb629865d32d54bbb43d0ac17134d9d,"òtimo serviço",,,Positivo,,Não
4d1fde04ecdd948298f2df8943ffda7d,"Chegou antes do prazo",Positivo,,,,Não
109c0901968d5a76adab68a2c324d4d7,"Os produtos chegaram direitinho e antes do prazo!!! Excelente!!",Positivo,,,,Não
4ef59f6c9b99e98d366046bec3b5184f,"Muito bom",,,,,Sim
fdbf078ebb277a5eea895f65dc962da1,"O produto chegou rápido e em perfeito estado.
",Positivo,,,,Não
6ad4fec6fc0f7a5cd309fbe144ae9a1e,"Chegou antes do prazo , super recomendo ",Positivo,,,,Não
7edc6bcc5bdefed730bf78ceb845a1e4,"Boa empresa entregou antes doi prazo. Produto em perfeito estado.",Positivo,,,,Não
ba7cc43d97c5e6153f353d76537a07e5,"produto lindo, qualidade e preço excelentes.
Entrega antes do prazo previsto.",Positivo,Positivo,,,Não
d6199315f37472452b88f95a8f827fe3,"entregaram no prazo e produto correto",Neutro,Neutro,,,Não
d783b9df1cbb8273c3fd93dabebc7028,"Produto diferente do que foi anunciado.",,Negativo,,,Não
59952f8a0a2635a24a0042312fa6118e,"Chegou muito rápido.",Positivo,,,,Não
82dbb86cd473f9145976711279d2ad95,"Super enrolado.. transporte desatualizado, e fora do prazo. Mais de 30 dias esperando .",Negativo,,,,Não
f6192f54ccb20122c5346279d6c2b534,"Produto bom, forte e bom acabamento",,Positivo,,,Não
f0926a194cb1020a9db03dcea2965449,"Produto foi entregue muito antes do prazo determinado.",Positivo,Neutro,,,Não
e362b005b08fd777cb2e29d8be450cce,"Voltaria a comprar",,,,,Sim
08e0b7588f3a3594735949d6528783f4,"O PRODUTO O QUAL CHEGOU EM MINHA RESIDENCIA , ERA SIM O PRODUTO O QUAL EU HAVIA FEITO O PEDIDO, POREM O PRODUTO NAO ESTAVA NOS PADROES O QUAL DEVERIA SE ENCONTRAR , FOI UMA FALTA TOTAL DE RESPEITO .",,Negativo,Negativo,,Não
bb1f7bf4013b353edba78486f176143c,"Só não coerente o valor do frete.",Negativo,,,Negativo,Não
d208fca6db164f5c4bc3b98a7386409a,"Eu recomendo a empresa",,,Positivo,,Sim
455e010660a079e65832f49e54084798,"Muito bom essa loja !!
Parabéns!",,,Positivo,,Não
3932906047a7d32bef9f69b580752a3d,"Mesmo com a paralisação o produto chegou antes do previsto. E vieram sem nenhum problema",Positivo,,,,Não
0d429a74885e1504eb865c9ff1d7458d,"amei o produto ja estou usando",,Positivo,,,Não
97db5b4bc2a05d43231355b3e18a20fa,"eu amei meu pedicuro mais gostaria de saber a respeito da nota da garantia estendida ",,Positivo,Neutro,,Não
014295912d0bb13c6cbb868e17746d1e,"Produto com etiqueta de autenticidade.",,Positivo,,,Não
e0a0c38a410b88ca67a4007d30bd495d,"Tudo certo com a garantia estendida, também.",,Positivo,,,Não
499b0820814f9e7d1f7f50eb4d4bacfd,"chegou antes do prazo",Positivo,,,,Não
a8fadf675415935a325cafd820a4c58c,"O jogo de panelas e lindo e muito bom. So uma das frigideiras que soltou uns pontinhos de tinta. Mas o resto perfeito",,Positivo,,,Não
ef6e643a266db5c4bb87e87d7beb122d,"Embora eu ter recebido o produto em dias, mas o meu produto veio com avaria o produto foi uma película de um smartphone da Asus zenfone 3 zoom a película veio trincada...",Positivo,Negativo,,,Não
4aefaeee5ed09296c3352265560dd522,"Quero o produto que comprei. Paguei pelo amarelo e pelo acgua 2 produtos diferentes pela cor.
Me enviaram 2 Acqua",,Negativo,,,Não
74faa8128ffe6b654dfc1330eb4e61aa,"entrega foi rapida",Positivo,,,,Não
24a56c5bb899c87761faae0e713aac1d,"Satisfeita com a compra. Entrega rápida , super indico essa loja. ",Positivo,,,,Não
e8109a7418b26f16b2a57e92d3586637,"Produto maravilhoso, recebi antes do prazo. Tudo muito bem embalado. ",Positivo,Positivo,,,Não
0cd19f56749599224811bb3555e92385,"Recebí dentro do prazo!
Kit original!",Positivo,,,,Não
676afc5d855115f38150fd0902a45b3a,"A entrega foi muito rápida e o produto atende as expectativas!",Positivo,Positivo,,,Não
7fdfd6ad50849fe1435d51b8ffa8e4b2,"Produto de ótima qualidade e entrega dentro do prazo",Positivo,Positivo,,,Não
e9530f1076b701ad117d0d1ddd6f6c74,"Muito bom mesmo chegou com 7 dias ",Positivo,,,,Não
720881b598d89f4986451a39bd0f54e4,"São muito atenciosos e prestativos. 
",,,Positivo,,Não
fb0c6bce9f869f1edde9d8e2539a83c2,"É muito difícil o contato com vocês pois às vezes o problema não se enquadra nas opções disponíveis no site.",,,Negativo,,Não
6cfa10799b73732ffa8142d6c331921a,"Não foi entegue",Negativo,,,,Não
122bc2757bf00a74044291c8956979dd,"Consta no site que o meu pedido já foi entregue porém não recebi favor verificar os dados da pessoa que recebeu e me retornar com urgência pois vou atrás do meu direito como consumidor.aguardo retorno",Negativo,,Negativo,,Não
3efa3930d080fe8a78d1c0d616019a85,"Ótima compra. Obrigado.",,,,,Sim
f595b868d7e62687017e398a266b2a42,"Muito bom o produto",,Positivo,,,Não
5fc24814be99e80023baebff0e4747c9,"Entrega dentro do prazo estabelecido. Produto em ótimas condições.Produto em si excelente!",Positivo,Positivo,,,Não
41294ce398e8205d103615def8ef3b9b,"comprei 2 unidades recebi 1 unidade
ainda paguei 2 fretes para vir junto",Negativo,Negativo,,Negativo,Não
cb1f6bea74be52229a06bc2fb5a60bb3,"Ainda não recebi meu produto, esta totalmente fora do prazo de entrega, me sinto lesado",Negativo,,,,Não
2c1c256941576fe10bfa073c8c680be2,"O produto é bom e a entrega foi rápida",Positivo,Positivo,,,Não
aea18b525504e6d6cd40b116a35f6cc8,"Produto de qualidade.",,Positivo,,,Não
96616c4c1ccaf42bcb7dc3f01f74e5a2,"Comprei um item limpador de ar condicionado automotivo de lima limão, enviaram de lavanda.

De qualquer forma chegou o produto.",,Negativo,,,Não
953b9f0e4c4b78ac786abd80207506b0,"Entregou bem antes do prazo.",Positivo,,,,Não
dc7ff228430317daa558734a4af3527d,"O prazo para entrega era dia 14/05 e até agora não chegou. Uma falta de respeito com o consumidor. O numero do pedido nem sequer aparece na relação de pedidos no site lannister.com",Negativo,,Negativo,,Não
2d8b83f5db81a54ef475d8d7aa78204b,"super recomendo ",,,,,Sim
02303acbf32fcc6401f552eaef2bf19f,"Previsão de entrega até 18/10, recebi em 05/10, excelente.",Positivo,,,,Não